date,vendor_id,city,market,product_category,day_of_week,month,month_num,is_weekend,is_holiday,rain_season,is_big_market_day,is_payday_period,n_transactions,avg_transaction_value_xaf,daily_revenue_xaf
2026-03-24,V007,Buea,Molyko Market,Plantain & Cassava,Tuesday,March,3,0,0,0,0,0,7,1804.0,12626.0
2026-03-25,V007,Buea,Molyko Market,Plantain & Cassava,Wednesday,March,3,0,0,0,0,0,4,3002.0,12009.0
2026-03-26,V007,Buea,Molyko Market,Plantain & Cassava,Thursday,March,3,0,0,0,0,0,12,1395.0,16742.0
2026-03-27,V007,Buea,Molyko Market,Plantain & Cassava,Friday,March,3,0,0,0,0,0,4,2910.0,11641.0
2026-03-28,V007,Buea,Molyko Market,Plantain & Cassava,Saturday,March,3,1,0,0,0,0,8,2299.0,18391.0
2026-03-29,V007,Buea,Molyko Market,Plantain & Cassava,Sunday,March,3,1,0,0,0,1,9,2105.0,18949.0
2026-03-30,V007,Buea,Molyko Market,Plantain & Cassava,Monday,March,3,0,0,0,0,1,12,1581.0,18976.0
2026-03-31,V007,Buea,Molyko Market,Plantain & Cassava,Tuesday,March,3,0,0,0,0,1,9,1560.0,14037.0
2025-09-01,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Monday,September,9,0,0,1,0,0,9,1262.0,11359.0
2025-09-02,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Tuesday,September,9,0,0,1,0,0,7,1927.0,13489.0
2025-09-03,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Wednesday,September,9,0,0,1,0,0,4,2606.0,10422.0
2025-09-04,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Thursday,September,9,0,0,1,0,0,7,2583.0,18082.0
2025-09-05,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Friday,September,9,0,0,1,0,0,11,1749.0,19239.0
2025-09-06,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Saturday,September,9,1,0,1,1,0,17,1987.0,33774.0
2025-09-07,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Sunday,September,9,1,0,1,0,0,10,1480.0,14800.0
2025-09-08,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Monday,September,9,0,0,1,0,0,3,4502.0,13505.0
2025-09-09,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Tuesday,September,9,0,0,1,0,0,8,1697.0,13575.0
2025-09-10,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Wednesday,September,9,0,0,1,0,0,5,2410.0,12050.0
2025-09-11,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Thursday,September,9,0,0,1,0,0,9,1275.0,11473.0
2025-09-12,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Friday,September,9,0,0,1,0,0,10,1803.0,18027.0
2025-09-13,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Saturday,September,9,1,0,1,0,0,7,2577.0,18038.0
2025-09-14,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Sunday,September,9,1,0,1,0,0,9,1774.0,15969.0
2025-09-15,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Monday,September,9,0,0,1,0,0,7,2191.0,15334.0
2025-09-16,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Tuesday,September,9,0,0,1,0,0,10,1422.0,14219.0
2025-09-17,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Wednesday,September,9,0,0,1,0,0,9,1150.0,10346.0
2025-09-18,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Thursday,September,9,0,0,1,0,0,13,1668.0,21687.0
2025-09-19,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Friday,September,9,0,0,1,0,0,14,1350.0,18898.0
2025-09-20,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Saturday,September,9,1,0,1,1,0,11,2094.0,23035.0
2025-09-21,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Sunday,September,9,1,0,1,0,0,7,1818.0,12728.0
2025-09-22,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Monday,September,9,0,0,1,0,0,5,2448.0,12238.0
2025-09-23,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Tuesday,September,9,0,0,1,0,0,4,2631.0,10524.0
2025-09-24,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Wednesday,September,9,0,0,1,0,0,5,2340.0,11701.0
2025-09-25,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Thursday,September,9,0,0,1,0,0,4,2348.0,9393.0
2025-09-26,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Friday,September,9,0,0,1,0,0,7,2524.0,17668.0
2025-09-27,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Saturday,September,9,1,0,1,0,0,9,2162.0,19455.0
2025-09-28,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Sunday,September,9,1,0,1,0,1,13,1529.0,19882.0
2025-09-29,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Monday,September,9,0,0,1,0,1,12,1747.0,20968.0
2025-09-30,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Tuesday,September,9,0,0,1,0,1,6,2040.0,12240.0
2025-10-01,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Wednesday,October,10,0,0,1,0,0,5,1783.0,8917.0
2025-10-02,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Thursday,October,10,0,0,1,0,0,4,3779.0,15117.0
2025-10-03,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Friday,October,10,0,0,1,0,0,10,1268.0,12681.0
2025-10-04,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Saturday,October,10,1,0,1,1,0,13,1838.0,23894.0
2025-10-05,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Sunday,October,10,1,0,1,0,0,9,1676.0,15088.0
2025-10-06,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Monday,October,10,0,0,1,0,0,3,3524.0,10571.0
2025-10-07,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Tuesday,October,10,0,0,1,0,0,9,1435.0,12916.0
2025-10-08,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Wednesday,October,10,0,0,1,0,0,8,1970.0,15757.0
2025-10-09,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Thursday,October,10,0,0,1,0,0,3,3596.0,10787.0
2025-10-10,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Friday,October,10,0,0,1,0,0,9,1972.0,17752.0
2025-10-11,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Saturday,October,10,1,0,1,0,0,4,3611.0,14446.0
2025-10-12,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Sunday,October,10,1,0,1,0,0,9,2043.0,18391.0
2025-10-13,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Monday,October,10,0,0,1,0,0,8,1243.0,9944.0
2025-10-14,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Tuesday,October,10,0,0,1,0,0,8,1774.0,14194.0
2025-10-15,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Wednesday,October,10,0,0,1,0,0,7,2000.0,14003.0
2025-10-16,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Thursday,October,10,0,0,1,0,0,4,3990.0,15961.0
2025-10-17,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Friday,October,10,0,0,1,0,0,10,1811.0,18113.0
2025-10-18,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Saturday,October,10,1,0,1,1,0,13,1451.0,18859.0
2025-10-19,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Sunday,October,10,1,0,1,0,0,8,2365.0,18921.0
2025-10-20,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Monday,October,10,0,0,1,0,0,3,2993.0,8979.0
2025-10-21,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Tuesday,October,10,0,0,1,0,0,6,1769.0,10614.0
2025-10-22,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Wednesday,October,10,0,0,1,0,0,14,1417.0,19841.0
2025-10-23,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Thursday,October,10,0,0,1,0,0,7,2250.0,15748.0
2025-10-24,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Friday,October,10,0,0,1,0,0,9,2292.0,20628.0
2025-10-25,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Saturday,October,10,1,0,1,0,0,15,1621.0,24322.0
2025-10-26,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Sunday,October,10,1,0,1,0,0,7,1966.0,13760.0
2025-10-27,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Monday,October,10,0,0,1,0,0,5,3044.0,15218.0
2025-10-28,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Tuesday,October,10,0,0,1,0,0,5,1885.0,9425.0
2025-10-29,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Wednesday,October,10,0,0,1,0,1,8,1979.0,15829.0
2025-10-30,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Thursday,October,10,0,0,1,0,1,6,2706.0,16234.0
2025-10-31,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Friday,October,10,0,0,1,0,1,15,1385.0,20775.0
2025-11-01,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Saturday,November,11,1,0,0,1,0,10,2830.0,28303.0
2025-11-02,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Sunday,November,11,1,0,0,0,0,9,1855.0,16693.0
2025-11-03,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Monday,November,11,0,0,0,0,0,8,1847.0,14777.0
2025-11-04,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Tuesday,November,11,0,0,0,0,0,9,1827.0,16447.0
2025-11-05,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Wednesday,November,11,0,0,0,0,0,9,2001.0,18013.0
2025-11-06,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Thursday,November,11,0,0,0,0,0,9,1643.0,14786.0
2025-11-07,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Friday,November,11,0,0,0,0,0,7,2269.0,15885.0
2025-11-08,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Saturday,November,11,1,0,0,0,0,9,2144.0,19295.0
2025-11-09,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Sunday,November,11,1,0,0,0,0,6,3078.0,18465.0
2025-11-10,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Monday,November,11,0,0,0,0,0,8,1179.0,9436.0
2025-11-11,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Tuesday,November,11,0,0,0,0,0,6,1920.0,11520.0
2025-11-12,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Wednesday,November,11,0,0,0,0,0,5,2081.0,10407.0
2025-11-13,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Thursday,November,11,0,0,0,0,0,3,4219.0,12658.0
2025-11-14,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Friday,November,11,0,0,0,0,0,14,1600.0,22399.0
2025-11-15,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Saturday,November,11,1,0,0,1,0,15,1667.0,25011.0
2025-11-16,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Sunday,November,11,1,0,0,0,0,14,1691.0,23675.0
2025-11-17,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Monday,November,11,0,0,0,0,0,7,1945.0,13612.0
2025-11-18,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Tuesday,November,11,0,0,0,0,0,7,2108.0,14754.0
2025-11-19,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Wednesday,November,11,0,0,0,0,0,8,1618.0,12945.0
2025-11-20,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Thursday,November,11,0,0,0,0,0,6,2205.0,13229.0
2025-11-21,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Friday,November,11,0,0,0,0,0,12,1467.0,17609.0
2025-11-22,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Saturday,November,11,1,0,0,0,0,11,1602.0,17624.0
2025-11-23,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Sunday,November,11,1,0,0,0,0,12,1615.0,19382.0
2025-11-24,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Monday,November,11,0,0,0,0,0,3,3599.0,10798.0
2025-11-25,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Tuesday,November,11,0,0,0,0,0,8,1815.0,14517.0
2025-11-26,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Wednesday,November,11,0,0,0,0,0,7,2329.0,16302.0
2025-11-27,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Thursday,November,11,0,0,0,0,0,11,1502.0,16519.0
2025-11-28,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Friday,November,11,0,0,0,0,1,11,1810.0,19905.0
2025-11-29,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Saturday,November,11,1,0,0,0,1,13,2048.0,26620.0
2025-11-30,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Sunday,November,11,1,0,0,0,1,15,1418.0,21268.0
2025-12-01,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Monday,December,12,0,0,0,0,0,4,3134.0,12536.0
2025-12-02,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Tuesday,December,12,0,0,0,0,0,3,3866.0,11599.0
2025-12-03,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Wednesday,December,12,0,0,0,0,0,11,1560.0,17163.0
2025-12-04,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Thursday,December,12,0,0,0,0,0,4,3291.0,13163.0
2025-12-05,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Friday,December,12,0,0,0,0,0,7,2165.0,15155.0
2025-12-06,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Saturday,December,12,1,0,0,1,0,14,1858.0,26007.0
2025-12-07,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Sunday,December,12,1,0,0,0,0,10,2140.0,21398.0
2025-12-08,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Monday,December,12,0,0,0,0,0,3,3172.0,9517.0
2025-12-09,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Tuesday,December,12,0,0,0,0,0,5,2614.0,13072.0
2025-12-10,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Wednesday,December,12,0,0,0,0,0,6,2152.0,12909.0
2025-12-11,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Thursday,December,12,0,0,0,0,0,8,2152.0,17217.0
2025-12-12,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Friday,December,12,0,0,0,0,0,10,1645.0,16452.0
2025-12-13,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Saturday,December,12,1,0,0,0,0,11,1775.0,19520.0
2025-12-14,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Sunday,December,12,1,0,0,0,0,10,1784.0,17841.0
2025-12-15,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Monday,December,12,0,0,0,0,0,8,1272.0,10180.0
2025-12-16,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Tuesday,December,12,0,0,0,0,0,10,1958.0,19576.0
2025-12-17,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Wednesday,December,12,0,0,0,0,0,6,1878.0,11270.0
2025-12-18,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Thursday,December,12,0,0,0,0,0,8,2152.0,17216.0
2025-12-19,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Friday,December,12,0,0,0,0,0,10,1720.0,17204.0
2025-12-20,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Saturday,December,12,1,0,0,1,0,19,1667.0,31665.0
2025-12-21,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Sunday,December,12,1,0,0,0,0,9,2163.0,19470.0
2025-12-22,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Monday,December,12,0,0,0,0,0,6,2237.0,13422.0
2025-12-23,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Tuesday,December,12,0,0,0,0,0,10,1528.0,15284.0
2025-12-24,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Wednesday,December,12,0,0,0,0,0,7,2147.0,15031.0
2025-12-25,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Thursday,December,12,0,1,0,0,0,13,1335.0,17360.0
2025-12-26,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Friday,December,12,0,0,0,0,0,11,1503.0,16531.0
2025-12-27,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Saturday,December,12,1,0,0,0,0,12,1914.0,22969.0
2025-12-28,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Sunday,December,12,1,0,0,0,0,7,1885.0,13194.0
2025-12-29,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Monday,December,12,0,0,0,0,1,11,1327.0,14596.0
2025-12-30,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Tuesday,December,12,0,0,0,0,1,11,1175.0,12930.0
2025-12-31,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Wednesday,December,12,0,0,0,0,1,10,1675.0,16751.0
2026-01-01,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Thursday,January,1,0,1,0,0,0,9,1798.0,16185.0
2026-01-02,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Friday,January,1,0,0,0,0,0,12,1598.0,19173.0
2026-01-03,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Saturday,January,1,1,0,0,1,0,14,1527.0,21382.0
2026-01-04,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Sunday,January,1,1,0,0,0,0,11,1631.0,17937.0
2026-01-05,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Monday,January,1,0,0,0,0,0,4,3000.0,11999.0
2026-01-06,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Tuesday,January,1,0,0,0,0,0,7,1900.0,13299.0
2026-01-07,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Wednesday,January,1,0,0,0,0,0,7,1515.0,10603.0
2026-01-08,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Thursday,January,1,0,0,0,0,0,8,2155.0,17237.0
2026-01-09,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Friday,January,1,0,0,0,0,0,7,2093.0,14648.0
2026-01-10,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Saturday,January,1,1,0,0,0,0,11,1973.0,21703.0
2026-01-11,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Sunday,January,1,1,0,0,0,0,9,1847.0,16624.0
2026-01-12,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Monday,January,1,0,0,0,0,0,3,3253.0,9760.0
2026-01-13,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Tuesday,January,1,0,0,0,0,0,6,1340.0,8041.0
2026-01-14,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Wednesday,January,1,0,0,0,0,0,9,1516.0,13643.0
2026-01-15,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Thursday,January,1,0,0,0,0,0,6,1956.0,11739.0
2026-01-16,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Friday,January,1,0,0,0,0,0,9,2034.0,18302.0
2026-01-17,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Saturday,January,1,1,0,0,1,0,14,1377.0,19279.0
2026-01-18,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Sunday,January,1,1,0,0,0,0,11,1966.0,21622.0
2026-01-19,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Monday,January,1,0,0,0,0,0,6,2281.0,13687.0
2026-01-20,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Tuesday,January,1,0,0,0,0,0,9,1219.0,10973.0
2026-01-21,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Wednesday,January,1,0,0,0,0,0,5,2020.0,10100.0
2026-01-22,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Thursday,January,1,0,0,0,0,0,11,1330.0,14627.0
2026-01-23,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Friday,January,1,0,0,0,0,0,8,2586.0,20692.0
2026-01-24,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Saturday,January,1,1,0,0,0,0,12,1800.0,21599.0
2026-01-25,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Sunday,January,1,1,0,0,0,0,10,1613.0,16131.0
2026-01-26,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Monday,January,1,0,0,0,0,0,4,2422.0,9688.0
2026-01-27,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Tuesday,January,1,0,0,0,0,0,9,1590.0,14307.0
2026-01-28,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Wednesday,January,1,0,0,0,0,0,7,1997.0,13977.0
2026-01-29,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Thursday,January,1,0,0,0,0,1,10,1621.0,16214.0
2026-01-30,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Friday,January,1,0,0,0,0,1,9,2264.0,20373.0
2026-01-31,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Saturday,January,1,1,0,0,0,1,8,2488.0,19903.0
2026-02-01,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Sunday,February,2,1,0,0,0,0,13,1680.0,21842.0
2026-02-02,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Monday,February,2,0,0,0,0,0,5,2450.0,12249.0
2026-02-03,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Tuesday,February,2,0,0,0,0,0,8,1480.0,11838.0
2026-02-04,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Wednesday,February,2,0,0,0,0,0,9,2130.0,19169.0
2026-02-05,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Thursday,February,2,0,0,0,0,0,9,1965.0,17683.0
2026-02-06,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Friday,February,2,0,0,0,0,0,12,1412.0,16947.0
2026-02-07,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Saturday,February,2,1,0,0,1,0,14,1818.0,25453.0
2026-02-08,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Sunday,February,2,1,0,0,0,0,6,2929.0,17576.0
2026-02-09,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Monday,February,2,0,0,0,0,0,6,2192.0,13151.0
2026-02-10,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Tuesday,February,2,0,0,0,0,0,4,2541.0,10163.0
2026-02-11,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Wednesday,February,2,0,1,0,0,0,10,1547.0,15473.0
2026-02-12,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Thursday,February,2,0,0,0,0,0,5,2379.0,11896.0
2026-02-13,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Friday,February,2,0,0,0,0,0,7,2624.0,18370.0
2026-02-14,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Saturday,February,2,1,0,0,0,0,7,2742.0,19193.0
2026-02-15,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Sunday,February,2,1,0,0,0,0,10,1983.0,19835.0
2026-02-16,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Monday,February,2,0,0,0,0,0,8,1556.0,12450.0
2026-02-17,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Tuesday,February,2,0,0,0,0,0,5,2305.0,11526.0
2026-02-18,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Wednesday,February,2,0,0,0,0,0,4,2813.0,11250.0
2026-02-19,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Thursday,February,2,0,0,0,0,0,5,2441.0,12207.0
2026-02-20,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Friday,February,2,0,0,0,0,0,9,1826.0,16430.0
2026-02-21,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Saturday,February,2,1,0,0,1,0,12,1810.0,21720.0
2026-02-22,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Sunday,February,2,1,0,0,0,0,9,2038.0,18341.0
2026-02-23,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Monday,February,2,0,0,0,0,0,6,1800.0,10802.0
2026-02-24,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Tuesday,February,2,0,0,0,0,0,7,1808.0,12655.0
2026-02-25,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Wednesday,February,2,0,0,0,0,0,10,1805.0,18049.0
2026-02-26,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Thursday,February,2,0,0,0,0,1,6,2461.0,14767.0
2026-02-27,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Friday,February,2,0,0,0,0,1,6,2895.0,17369.0
2026-02-28,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Saturday,February,2,1,0,0,0,1,11,2672.0,29394.0
2026-03-01,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Sunday,March,3,1,0,0,0,0,8,2294.0,18351.0
2026-03-02,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Monday,March,3,0,0,0,0,0,4,2846.0,11386.0
2026-03-03,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Tuesday,March,3,0,0,0,0,0,9,1892.0,17028.0
2026-03-04,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Wednesday,March,3,0,0,0,0,0,11,1426.0,15686.0
2026-03-05,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Thursday,March,3,0,0,0,0,0,5,2967.0,14837.0
2026-03-06,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Friday,March,3,0,0,0,0,0,7,2417.0,16922.0
2026-03-07,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Saturday,March,3,1,0,0,1,0,12,1941.0,23290.0
2026-03-08,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Sunday,March,3,1,1,0,0,0,12,1709.0,20508.0
2026-03-09,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Monday,March,3,0,0,0,0,0,7,1972.0,13803.0
2026-03-10,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Tuesday,March,3,0,0,0,0,0,6,2352.0,14115.0
2026-03-11,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Wednesday,March,3,0,0,0,0,0,8,2155.0,17239.0
2026-03-12,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Thursday,March,3,0,0,0,0,0,6,2978.0,17871.0
2026-03-13,V008,Buea,Mile 17 Motor Park Market,Fresh Vegetables,Friday,March,3,0,0,0,0,0,8,2055.0,16443.0
